index,SMILE,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,CLUSTER,Label
10750,c1ccc2c(-c3c[nH]c(-c4c[nH]c5ccccc45)n3)c[nH]c2c1,1.0999748,1.5484208,0.046002701,1.002856,1.5308697,-1.8196756,1.1983429,-0.27449718,0.6203661,0.69495714,-0.7716924,0.093045525,0.4337703,1.4113935,0.17607863,-0.22312531,0.64148062,1.9487286,-2.8788018,-0.86534572,45516,0
10793,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(CCBr)O2,1.0722568,-1.7503178,2.2240636,0.35654598,-2.2053664,-0.67812884,-1.1372124,-0.91035122,1.2503394,0.37907496,-0.98907667,-1.2411103,2.0697727,-0.18997565,0.05280998,-0.86439329,-0.53909367,0.23834452,-1.7346684,-0.12128733,45106,0
10794,C[C@]12CCC[C@H]3[C@@H](N)Cc4c(n(c5cccc(O)c45)C(=O)C1)[C@H]32,0.73031121,1.8878216,1.2786326,1.0523245,-1.3577305,0.19480328,1.5535003,3.3717349,0.65811902,1.7932105,-2.3064361,-0.8875671,0.18830904,0.46230543,-0.28872162,1.6878831,-0.052929021,0.74687731,-0.74051768,0.11620647,38939,0
10802,c1ccc([C@@H](CC2=NCCN2)c2ccc3c(c2)CCO3)nc1,1.1029768,0.64536566,0.64226747,1.3481089,0.8507452,0.94314128,1.1410975,1.8210927,0.47918466,0.053045709,0.60313141,-0.16189985,0.042767875,-0.32747161,0.51141995,0.10465484,0.99218631,0.50409096,0.17117724,0.16088752,45548,0
10804,Cc1cc([C@H](CC2=NCCN2)c2ccccn2)c2oc(C)c(C)c2c1,1.5793371,0.65450168,1.1482913,0.18799934,-0.056393851,0.34643775,0.28063866,-0.43671998,-0.039758392,0.66338557,0.77932304,-0.069187582,0.44077754,-0.11693382,0.29201633,-0.39570525,0.81271058,0.27237031,0.95217919,-0.36684561,49923,0
10807,COc1cc2cc(C)cc([C@H](CC3=NCCN3)c3ccccn3)c2o1,1.0490438,1.1332564,0.61467367,0.33105862,0.40949479,0.34658441,0.49635318,-0.33375815,-0.18119933,0.85334831,0.18556246,0.51692533,0.28507328,-0.56031483,-1.1852224,-0.27775374,0.30161718,0.740484,1.1623478,-0.84709853,44755,0
10849,COc1cccc(N(C)C(=S)Oc2ccc3c(c2)CCCC3)n1,1.2139151,0.079864077,-0.20799002,0.27067956,-0.42069462,-0.3818883,0.18341459,-0.75460571,0.95903713,-0.81000757,1.5449165,1.2975827,-1.6296875,-1.8764507,-1.075624,-0.014192072,-1.3624492,-0.4594835,0.86187619,-0.23948285,47008,0
10851,Fc1ccc(OCC2CCN(CC3CC3)CC2)cc1,1.1700289,0.12670892,0.82602262,-0.28966647,1.8261999,1.0840428,-0.62085819,5.88E-04,-1.0792142,0.79133171,-0.88132447,0.15404259,-0.8201704,-0.85127115,1.264824,0.91229647,-0.47247136,0.85588753,-0.62710041,0.18010747,46446,0
10857,COc1cccc2c1[C@@H]1CCN[C@H]1CC2,0.94933999,-0.45694599,1.160821,-0.77362502,2.1940942,1.7290936,0.88382334,-0.03337805,-0.033223644,-0.066855103,-0.95193434,0.005866255,0.008323971,-1.3243078,-0.22476983,0.94262415,-0.5417791,0.4709346,-0.68705499,-0.54378802,43107,0
10863,O=C(CC1CCCCC1)c1ccc(Cn2ccc3ncnc-3c2)cc1,1.2928205,1.0698739,0.30790892,0.44817775,-0.076543897,-0.37064028,0.56785232,3.0939491,-0.025910169,0.62347472,-0.24914278,1.6342202,0.62991774,-0.036062233,0.58065605,-0.85006535,-0.84259784,-0.25689641,-0.54306984,0.10023719,47824,0
10886,C=CCc1cc2c(cc1O)[C@@H]1CC[C@@](O)(c3ccccc3)C[C@@H]1O2,1.1635242,1.4123032,0.32079339,0.68409163,-0.4850969,0.23993474,-0.0238431,-0.51613778,-0.074028522,-0.4552885,-2.0247364,-1.0051917,1.2769754,-0.36896387,-0.51740003,0.28598499,0.066973731,0.41160467,-1.4595746,0.18038294,46366,0
10894,CCCN(c1ccnc(Cl)c1)n1ccc2ccccc21,1.3503463,-0.19960046,-0.33129743,0.054340169,0.43848217,-0.87756836,-0.23518682,-0.46217385,0.037849106,-0.25363392,-0.51273352,-0.81863719,-0.53249407,-0.19807841,0.065282471,-0.38636899,-1.0986189,0.9397921,1.0410423,-0.61075771,48380,0
10900,CN(c1ccccc1)c1nc2ccc(NCc3ccccc3)cc2[nH]1,1.5866836,1.1483802,-0.12545708,0.65111786,1.0516545,-0.69135016,-0.24618562,-0.64122486,0.5635758,0.24126126,0.18252277,0.31764039,0.35462978,0.79247576,-0.47465023,-0.068497725,0.4980461,-1.2349328,-0.63213098,-0.69825506,49964,0
10904,CC(C)N1C(=O)c2ccccc2Oc2ccccc21,0.77486962,-0.21720809,-0.072582774,-0.41488677,-0.27042118,0.17643851,0.3228862,-0.26224017,-0.42068979,-0.37553498,-0.6080817,-0.58437175,-0.27653584,0.1864036,-0.80974114,-1.2113771,-0.51863158,2.001611,0.55097228,-0.39943489,39825,0
10956,C=C1N(c2cccc3ccccc23)C(=O)OC12CCNCC2,0.61219609,0.99380302,0.28325099,-1.4566518,0.37570301,0.08447209,1.5369507,-0.21519162,-0.53750414,1.2569077,-0.20075789,-0.081797183,0.20210624,0.78666002,-0.48307046,0.92136532,-1.1931524,-0.16567539,-0.52032685,0.032244381,36414,0
10958,O=C(CCl)N[C@H]1Cc2ccccc2[C@H](c2ccccc2)C1,0.84607059,0.35018146,0.20923109,-0.53011602,-0.29398718,-0.24895807,-0.095218219,2.1248937,-0.13194841,-0.83804888,-0.97180116,-1.0146339,-0.3833001,0.44754937,-0.017386921,-0.064466916,-0.69018483,0.78756839,0.54794335,0.015494898,41176,0
10996,Cc1ccccc1C[C@@H](CO)c1cc(OC2CCCCC2)c(C)cn1,1.505206,0.7235384,0.74479425,-0.68530822,0.004314619,0.90414995,-1.2501794,-0.32063919,-0.46998098,-0.91675413,0.18182461,-0.076660454,0.34465912,1.2530986,0.88525271,0.42674598,-0.1978621,0.88382608,-0.11957998,-1.0147938,49506,0
11070,CC1(C)COC(c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)OC1,1.0543885,0.9531042,0.45743382,-1.0847894,0.026078008,-0.28811187,0.30703536,-0.59508133,0.49780148,-0.71960348,0.15103696,-7.28E-04,2.5597956,-0.4592081,-0.63755453,-1.195815,0.56391168,-1.3315995,-2.0396681,-0.1543158,44839,0
11126,CCOC(=O)c1c2sc(C(C)=O)c(C)c2n2cc(C)cc(C)c12,1.0409276,-0.90565085,1.3106873,-1.1105785,-2.7698536,-0.14568077,-0.65618843,1.580368,2.51577,2.5428336,1.0705342,-0.90364629,1.3101856,-0.059854627,0.16543572,-0.69952708,0.81823796,-0.90148807,0.72103596,-0.79037964,44633,0
11130,c1ccc(-c2nnc(-c3cccnc3)c3ccccc23)cc1,1.424256,0.73936993,-0.17862356,-0.39095625,0.90167117,-0.40611681,-0.30508417,-0.22261663,-0.56960154,-0.65495723,1.1047457,-1.0136555,0.50754011,-0.18925925,0.93928546,-1.770775,-1.1728114,-0.10092324,-1.2468165,0.06773176,48977,0
11132,COc1ccc(-c2nnc(-c3cccnc3)c3ccccc23)cc1OC,1.394784,1.270731,0.040795468,-0.30329248,0.67965084,-0.058783583,-0.40293184,-0.33651152,0.26016879,-0.903413,1.5383158,0.15276919,0.78641307,-1.0256228,0.96876067,-0.83771688,-0.68085527,0.030718155,-1.3021097,-0.068894833,48738,0
11136,CC(C)(C)CNc1nnc(-c2ccncc2)c2ccccc12,0.77419925,0.2773343,0.87212342,-0.051617388,0.50500333,-1.8414414,-0.51236904,-0.4165985,-0.46888918,-0.93058449,-0.28007871,-0.58835512,0.82741463,0.003138831,0.59644979,-1.0276929,-0.51198041,-0.97115046,-0.17192413,-0.36189917,39815,0
11137,Clc1ccccc1Nc1nnc(Cc2cccnc2)c2ccccc12,1.4491347,0.99415433,-0.15121289,-0.78880531,0.69620365,-0.82917082,-0.49671555,-0.29905936,0.009728761,-0.36242417,1.6245959,-0.74429429,0.93803126,-0.33165926,1.0644618,-0.89258069,-1.0217725,-0.53410852,-1.0483512,-0.448302,49166,0
11139,c1cncc(Cc2nnc(N3CCCCC3)c3ccccc23)c1,1.2112354,0.87391073,0.52284914,-0.1120976,0.83167154,-0.2522034,0.45525309,0.25217018,-0.39250922,-1.1020932,0.6094895,-1.0825897,0.36108419,-0.34195855,-0.21775717,-1.4469074,0.049786955,-0.064822674,-0.024641359,-1.0293262,46980,0
11168,CN1CC(=O)N(CCCN2CCCCC2)c2ccccc2S1,0.96323097,0.19271095,1.1679883,-1.1530977,0.84976816,1.5428954,0.44337878,-0.20399487,-0.42545271,0.46291408,0.74926561,0.95976657,0.90708995,-0.64044046,-0.15743108,0.69318628,-0.77007782,0.84127605,0.44998768,0.080596857,43342,0
11195,CNc1cc(N2CCCC(C)(C)C2)nc(C)[n+]1C,0.55383646,-2.2544427,3.6905808,1.4011762,-1.7614014,-1.097828,-0.26603812,0.89610189,-5.4746017,-0.55159414,2.6019897,-1.5987982,0.35559484,1.8706499,-1.4140372,0.21757442,2.0487447,-1.247233,-0.61581862,-1.6375899,35121,0
11228,COc1ccc(CN2CCC(NC(=O)C#Cc3ccccc3)CC2)cc1,1.205482,0.73858464,0.16566172,-0.39743263,0.29252291,0.29238018,0.036945749,3.3510799,0.86787271,0.23940568,0.10562877,1.2360249,0.76824462,2.0129249,-0.27407399,1.2625632,0.11576849,-0.41478112,0.30045101,-0.69101477,46911,0
11237,Cc1cc(C)c(N)c(C(=O)c2ccccc2Cl)c1,0.8204425,-0.67228967,-0.28138795,-0.48842099,0.75672889,-0.47410405,-1.5073564,-0.18809551,-0.36343664,0.43913066,-0.32293904,-0.55809695,-0.12250399,-1.0428828,1.3456558,-0.27418134,0.24680825,-0.067625202,0.95868063,-0.899966,40705,0
11240,Cc1cc(N)c(C(=O)c2ccccc2Cl)cc1C,0.87151265,-0.76888496,-0.13473357,-0.39342436,0.46056107,-0.34221613,-1.5788143,-0.38972765,-0.23727247,0.36226204,-0.041345619,-0.10829748,-0.29550511,-1.1295463,1.0531161,-0.69647455,-0.048213858,-0.44328746,0.60785437,-0.61538124,41658,0
