index,SMILE,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,CLUSTER,Label
51113,SC[C@@H](C)C(N1CCC[C@@H]1[C@@](O)=O)=O,-0.25160968,-1.8746564,-0.27521154,0.17154144,0.94619066,0.085331157,-0.20137475,-0.10221771,-0.035894945,-1.1921817,-1.3012228,0.68382287,0.069715105,-0.67034054,-1.1608018,-0.63919783,-0.24749459,2.23771,0.91643012,-0.82273328,17775,1
51114,SC[C@H](C)C(N1CCC[C@@H]1[C@@](O)=O)=O,-0.70585221,-2.5360258,1.3842665,0.1147585,-0.046939861,1.2867941,0.20783715,0.69374931,1.1757895,-0.32068333,0.93031788,-0.63808715,-1.9935209,-0.66659606,-0.012575139,-0.12720141,-0.26517886,2.7710044,-0.91939878,-1.1083266,10924,1
51115,SC(C=CC=C2)=C2C(N1CCC[C@@H]1[C@](O)=O)=O,-1.6247411,-4.054379,0.68413764,-0.12773082,1.336725,-0.059115142,0.020195719,-0.34672013,0.84428406,-0.8598963,-1.3867124,-0.74217153,-1.2536019,0.31875584,-1.0669838,-1.7819293,-2.5144548,3.862272,-3.2705064,-4.7909045,3651,1
51116,O=C1CC(N(OCC2=CC=CC=C2)C(C3=CC=CC=C3)=O)N1CC(C)(C)[Si](C)(C)C,-2.0151844,-3.6252153,-0.022251178,0.14465617,2.2566469,-0.47922206,0.61348391,-0.21846558,0.86869365,-1.582664,-1.1497121,0.45356402,-2.0319092,-0.79614156,-1.3752352,-1.2781137,-2.9465432,6.731791,-3.1575332,-6.1138954,2187,1
51117,O=C1CC(N(OCC2=CC=CC=C2)C(C3=CC=C(OCC)C=C3)=O)N1,-2.2853973,3.8008416,0.88829488,2.0063608,-1.5488831,0.63783008,-1.1015416,1.0360628,2.7645352,-2.9984641,2.9885426,-1.006721,4.3382664,-0.31916335,0.82977778,-0.30162266,0.68635148,-1.9762594,-1.0296245,1.3698859,1478,1
51118,O=C1CC(N(OCC=C)C(C2=CC=C([N+]([O-])=O)C=C2)=O)N1,-0.3023394,1.5889298,-0.45758376,1.5541499,-0.073896356,-1.045855,-0.10491357,-0.75959307,0.4693732,-0.30524606,2.0341239,0.098205715,2.6941478,1.3180904,-0.57462645,0.92067254,0.87164414,0.04710814,-3.4635971,-0.31607464,16878,1
51119,O=C1CC(N(OCC2=CC=CC=C2)C(C3=CC=C([N+]([O-])=O)C=C3)=O)N1SC,-0.59075367,1.7620696,-0.81108344,0.56246448,-0.74512285,-1.060706,-0.82889462,-0.68844837,-0.40705061,1.6794919,2.0561261,-0.36654612,0.41572773,1.0422175,-2.5640578,0.59341931,-0.6508252,-0.10320909,-2.8998382,0.57974827,12390,2
51120,O=C1CC(N(OCC2=CC=CC=C2)C(C3=CC=C(OCC)C=C3)=O)N1SC,-0.15965806,1.6038581,-1.0660325,1.1343064,-0.79721725,-1.0260746,-0.66041201,-0.89549708,-0.11401734,1.3355571,2.0220163,-0.37086102,1.0001441,0.99374419,-1.8533188,1.0050056,-1.3451432,-0.17306313,-2.7321589,0.27711999,19500,2
51121,O=C1CC(N(OCC=C)C(C2=CC=C([N+]([O-])=O)C=C2)=O)N1SC,-0.20604064,0.70262724,-0.087172978,0.88910413,0.72587335,-0.72601086,-0.35329875,-0.75086832,0.42534786,-1.403725,0.97048974,0.34277499,1.808097,1.6607724,0.26072991,0.37601066,1.5647367,0.052783344,-3.0249262,1.1409439,18619,2
51122,O=C1CC(N(OCC=C)C(C2=CC(C(F)(F)F)=CC([N+]([O-])=O)=C2)=O)N1,-0.33058164,0.77230877,-0.73711979,1.0703218,-0.34035313,-0.55072349,-1.0242286,0.87489593,-0.19410212,0.4723416,0.77401394,-0.13906053,0.49500072,1.35861,-1.9459906,-0.12562215,-0.26680511,-0.28088781,-2.2420266,1.6173146,16379,1
51123,O=C1CC(N(OCC=C)C(C2=CC(C(F)(F)F)=CC([N+]([O-])=O)=C2)=O)N1SC,-0.001399847,0.65674788,-0.85819709,1.0390022,-0.25328833,-0.62020594,-0.84172732,0.53195149,-0.16990179,-0.045018282,0.73130637,0.26673633,0.98280632,0.8337751,-1.5105963,-0.006227174,-0.75376338,-0.35523376,-2.4551516,1.4032352,22693,2
51124,O=C1[C@@]([C@H](OC(C)(C)[Si](C)(C)C)C)([H])[C@@H](N(OCC2=CC=CC=C2)C(C3=CC=CC=C3)=O)N1,-0.295663,1.3838471,-0.11699909,0.66362947,0.69006604,-0.95761096,0.10232937,-0.64659655,0.3199181,-0.085605711,1.7901714,0.073039375,2.2532456,2.2926028,0.007875103,-0.17311454,1.1030949,0.52108413,-2.9438083,1.0379913,17002,1
51125,O=C1[C@@]([C@H](O)C)([H])[C@@H](N(OCC2=CC=CC=C2)C(C3=CC=CC=C3)=O)N1,-0.47353253,1.414749,-0.69543755,0.5571366,-0.34149942,-0.99210912,-0.50096565,-0.5443663,-0.97220331,1.6439365,1.9156023,-0.66684341,0.77522081,1.7511621,-1.6948627,-0.36277974,-0.63191217,0.35718971,-2.0997488,1.7401979,14118,1
51126,O=C1[C@@]([C@H](OC(C)(C)[Si](C)(C)C)C)([H])[C@@H](N(OCC2=CC=CC=C2)C(C3=CC=CC=C3)=O)N1SC,-0.11054414,1.298686,-0.79732502,0.73488456,-0.26857904,-0.99567783,-0.33086476,-0.5668835,-0.58828199,1.4762346,1.8603162,-0.27997071,1.168057,1.6773659,-1.1712233,-0.075485937,-1.366527,0.19309975,-2.2763247,1.352778,20437,1
51127,O=C1[C@@]([C@H](OC(C)(C)[Si](C)(C)C)C)([H])[C@@H](N(O)C(C2=CC=CC=C2)=O)N1,-0.12100232,0.40737155,-0.017728474,0.65797842,1.2196063,-0.62319678,-0.003072706,0.95281959,0.58927274,-1.0418005,1.2218238,0.16501585,1.3563887,1.938219,1.2637427,0.078389898,1.6829159,0.020997791,-2.5908854,1.5758835,20244,1
51128,O=C1[C@@H](NC(CC4=CC=CC=C4)=O)[C@H](N(OCC2=CC=CC=C2)C(C3=CC=CC=C3)=O)N1,-0.2964161,0.38383001,-0.43838269,0.37708694,0.21643142,-0.75170952,-0.8556183,1.158856,-0.59792936,0.91033471,0.99892294,-0.83447284,0.69536287,2.0249693,-0.66063803,-0.7965225,0.19859873,0.3208949,-1.5124081,2.5005178,16997,1
51129,O=C1[C@@H](NC(CC4=CC=CC=C4)=O)[C@H](N(OCC2=CC=CC=C2)C(C3=CC=CC=C3)=O)N1SC,0.065772846,0.26267359,-0.52590388,0.33120736,0.34909523,-0.69716138,-0.67249429,0.74665147,-0.60679102,0.52846408,1.027131,-0.39962402,0.92100972,1.9120387,-0.19880667,-0.52310264,-0.26679799,0.1320471,-1.7603458,1.9487743,24140,2
51130,O=C1[C@@H](NC(COC2=CC=CC=C2)=O)[C@H](OOC(C)=O)N1,-0.34244159,1.3366927,0.009288723,0.38684717,0.56871486,-1.0222315,-0.05123527,-0.51441967,0.63813823,-0.053172588,2.1759274,-0.17349866,2.2850058,1.78177,-0.074469678,-0.30856988,1.391471,0.6926564,-2.9093852,0.83358151,16183,1
